"statecode","statename","income","b0","b1","rsquared"
"AL","Alabama","ALOTOT",393.112626904999,11.5408057399876,0.913709828323741
"AZ","Arizona","AZOTOT",1143.7158767299,20.8141446634699,0.882790542388769
"AR","Arkansas","AROTOT",541.109957356428,22.9747677830862,0.898049688192944
"CA","California","CAOTOT",11206.2720185429,12.4238302108571,0.909239853916429
"CO","Colorado","COOTOT",651.022470299437,7.56274608583564,0.961794194865052
"CT","Connecticut","CTOTOT",1075.86733936318,11.7560102765725,0.717866867024188
"FL","Florida","FLOTOT",4958.20626425866,20.3336815097714,0.813143866554678
"GA","Georgia","GAOTOT",4025.74898023589,3.69787554323118,0.46330838346763
"HI","Hawaii","HIOTOT",-181.298665037023,48.1342357769332,0.959474679841484
"ID","Idaho","IDOTOT",111.20124164379,21.5441120776475,0.945866868334658
"IL","Illinois","ILOTOT",-1895.14568406237,18.3791930013348,0.880341586952635
"IN","Indiana","INOTOT",-705.924895427514,28.0978758409194,0.950227133173232
"IA","Iowa","IAOTOT",-654.215764170244,25.0754547588983,0.907342065941617
"KS","Kansas","KSOTOT",-28.3192329472619,22.0245455212728,0.931329379564665
"KY","Kentucky","KYOTOT",573.460928550437,16.1925939744321,0.961365823671745
"LA","Louisiana","LAOTOT",1248.17594513707,10.7789001376394,0.415170911974784
"ME","Maine","MEOTOT",-178.5787387851,25.3208899699683,0.910967300330105
"MD","Maryland","MDOTOT",-110.775076727535,13.3808313065544,0.973486012422931
"MA","Massachusetts","MAOTOT",123.657438165739,13.1717103702552,0.956847879889877
"MI","Michigan","MIOTOT",4586.00577647128,10.8592561167653,0.706963326235037
"MN","Minnesota","MNOTOT",1238.39984637013,14.8883734610756,0.980754401685015
"MS","Mississippi","MSOTOT",746.539703342497,24.8537067994864,0.897429912734968
"MO","Missouri","MOOTOT",1756.2802858695,6.33551136829973,0.804911805197214
"NE","Nebraska","NEOTOT",556.954441669506,13.0780147688699,0.815152684450873
"NV","Nevada","NVOTOT",-899.255876766671,39.7941982701185,0.960257211119768
"NJ","New Jersey","NJOTOT",103.06464512353,17.2924696770108,0.926236702873363
"NM","New Mexico","NMOTOT",300.00649296294,23.3618768305156,0.783605733609797
"NY","New York","NYOTOT",2619.51007014419,9.25983689197558,0.938710419417513
"NC","North Carolina","NCOTOT",6053.51883766575,-414667.867513376,0.0423946456952859
"OH","Ohio","OHOTOT",-2857.4838758126,26.6559714256034,0.851684688770312
"OK","Oklahoma","OKOTOT",113.528600438138,14.4300645579064,0.951551734043371
"RI","Rhode Island","RIOTOT",258.046856184647,13.4506999012253,0.877127441907306
"SC","South Carolina","SCOTOT",1877.86634959598,7.12041337043549,0.658168107742595
"SD","South Dakota","SDOTOT",-2.60016708607783,23.7268642398408,0.965317009058217
"TN","Tennessee","TNOTOT",2083.7007270894,18.6675076548727,0.695056583072853
"TX","Texas","TXOTOT",-4262.12007267546,27.8466939199543,0.958924431564723
"UT","Utah","UTOTOT",767.420388986675,11.8386541431845,0.813727283755935
"VT","Vermont","VTOTOT",31.9195805590304,11.0765465921725,0.861648704853534
"VA","Virginia","VAOTOT",878.647405241374,7.19919783808355,0.789182735692734
"WA","Washington","WAOTOT",2074.35854313565,29.0223945901495,0.958077256407574
"WV","West Virginia","WVOTOT",449.394865857291,12.0563720088747,0.942000932492027
"WI","Wisconsin","WIOTOT",1273.51018823848,13.5631949199948,0.90957849133812
