"statecode","statename","income","b0","b1","rsquared"
"AL","Alabama","ALOTOT",-199.722461974759,15.4191621940921,0.921264144166897
"AZ","Arizona","AZOTOT",150.047948760697,174.480340737584,0.746680194586034
"AR","Arkansas","AROTOT",846.74183074557,8.37772247984071,0.957255342225149
"CA","California","CAOTOT",9229.33031786664,241.539399511649,0.945247450182707
"CO","Colorado","COOTOT",400.153415293401,1.14222965924247,0.949374683267412
"CT","Connecticut","CTOTOT",1756.73196999938,7.89593921685865,0.947561011810415
"FL","Florida","FLOTOT",-3030.93743020583,113.087452037936,0.771947044986689
"GA","Georgia","GAOTOT",2668.82335037302,69.8683722228916,0.717396906376668
"HI","Hawaii","HIOTOT",574.519855891575,2.56294096935873,0.892152490780082
"ID","Idaho","IDOTOT",-406.804209373597,4.70587871184085,0.943277232643286
"IL","Illinois","ILOTOT",-341.117974598433,155.066663583934,0.895737770773514
"IN","Indiana","INOTOT",1865.14733069267,76.4770389334532,0.933822329831583
"IA","Iowa","IAOTOT",-1130.70688601899,6.12931359747304,0.954077453583104
"KS","Kansas","KSOTOT",-5.50092330886479,10.3912558014832,0.95727019342339
"KY","Kentucky","KYOTOT",287.711103669988,22.5102783131028,0.941863903508411
"LA","Louisiana","LAOTOT",1159.10619015198,16.6963112749127,0.594879866476278
"ME","Maine","MEOTOT",-212.167614538433,9.07753822369548,0.932768258857419
"MD","Maryland","MDOTOT",-188.672499541875,23.3532409041453,0.94437100302691
"MA","Massachusetts","MAOTOT",-651.176333851524,107.020538145614,0.95238096296237
"MI","Michigan","MIOTOT",4475.2603993942,14.6730111945878,0.800031524140126
"MN","Minnesota","MNOTOT",1460.45340235496,9.31223301302751,0.981275757033745
"MS","Mississippi","MSOTOT",472.984629397022,6.76761629752322,0.900942008075644
"MO","Missouri","MOOTOT",1699.61532855145,6.27643184700244,0.899762694774075
"NE","Nebraska","NEOTOT",33.5732175517191,16.8989588393747,0.89625176786697
"NV","Nevada","NVOTOT",-1429.3586182141,21.1390294231711,0.913122155906616
"NJ","New Jersey","NJOTOT",2234.98483485702,161.135235637216,0.952673060289059
"NM","New Mexico","NMOTOT",177.213152786054,22.5499388444712,0.867299745994722
"NY","New York","NYOTOT",4437.37692067167,67.017749385346,0.959353663945386
"NC","North Carolina","NCOTOT",-1543.02435029533,113.471490226321,0.971434228628908
"OH","Ohio","OHOTOT",-2089.37213664908,23.8098074633917,0.903200099174137
"OK","Oklahoma","OKOTOT",51.9302444142749,30.7517689986481,0.946474881324468
"RI","Rhode Island","RIOTOT",207.834860050404,0.69540668608767,0.842346095805116
"SC","South Carolina","SCOTOT",3267.42075476637,-249861.554953475,0.234138416741855
"SD","South Dakota","SDOTOT",136.050788396593,21.9703540977849,0.913178034182423
"TN","Tennessee","TNOTOT",-1231.08005847142,17.6673866875586,0.825521604090927
"TX","Texas","TXOTOT",-10095.4887908581,243.039192198731,0.951129438681874
"UT","Utah","UTOTOT",-25.7298913769798,13.3465946667223,0.88340418568602
"VT","Vermont","VTOTOT",10.7546972486445,0.576002813280499,0.913586458072182
"VA","Virginia","VAOTOT",-1291.61647731237,107.138086174246,0.892884216445219
"WA","Washington","WAOTOT",212.294760026758,68.5244318289085,0.964611380123153
"WV","West Virginia","WVOTOT",658.229021791615,15.0034138825363,0.965073145783648
"WI","Wisconsin","WIOTOT",1558.42754057531,12.1026020283259,0.956515249187375
