"year","value","state","stcname","stcgroup","units","base"
1948,0.184,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1950,0.115,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1951,0.112,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1952,0.117,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1953,0.146,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1954,0.12,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1955,0.13,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1956,0.131,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1957,0.123,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1958,0.115,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1959,0.129,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1960,0.118,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1961,0.115,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1962,0.126,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1963,0.12,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1964,0.198,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1965,0.287,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1966,1.461,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1967,1.498,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1968,1.558,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1969,1.492,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1970,1.905,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1971,1.895,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1972,2.029,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1973,2.178,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1974,2.446,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1975,2.483,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1976,2.961,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1977,2.409,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1978,2.654,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1979,3.021,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1980,0.316,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1981,2.157,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1982,4.259,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1983,1.702,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1984,1.849,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1985,2.382,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1986,1.431,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1987,1.36,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1988,2.278,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1989,2.717,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1990,2.221,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1991,2.48,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1992,2.323,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1993,2.383,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1994,2.698,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1995,2.417,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1996,2.431,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1997,2.301,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1998,2.458,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1999,2.415,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2000,2.365,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2001,2.207,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2002,2.424,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2003,2.436,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2004,2.491,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2005,2.468,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2006,2.429,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2007,3.563,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2008,3.431,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2009,3.881,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2010,3.868,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2011,3.967,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2012,4.229,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2013,4.23,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2014,4.225,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2015,4.217,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2016,4.224,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2017,4.086,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2018,4.032,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2019,3.994,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2020,7.411,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2021,3.667,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2022,4.102,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2023,4.396,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2024,4.607,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
2025,4.853,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1957,0.51,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1958,0.434,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1959,0.332,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1960,0.357,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1961,0.238,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1962,0.291,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1963,0.384,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1964,0.612,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1965,0.623,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1966,0.654,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1967,0.699,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1968,0.69,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1969,0.684,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1970,0.756,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1971,0.727,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1972,0.774,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1973,0.806,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1974,0.796,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1975,0.84,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1976,0.92,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1977,0.95,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1978,1.006,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1979,1.05,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1980,1.029,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1981,1.494,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1982,1.548,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1983,1.593,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1984,1.717,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1985,1.702,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1986,1.703,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1987,1.666,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1988,1.632,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1989,1.563,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1990,1.542,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1991,1.545,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1992,1.689,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1993,1.772,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1994,1.883,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1995,1.152,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1996,1.298,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1997,1.096,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1998,1.297,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1999,1.137,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2000,1.301,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2001,1.117,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2002,1.523,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2003,1.891,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2004,1.829,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2005,1.768,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2006,1.937,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2007,1.777,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2008,1.924,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2009,1.819,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2010,2.475,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2011,1.806,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2012,1.864,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2013,1.788,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2014,1.905,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2015,1.845,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2016,1.471,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2017,1.314,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2018,1.433,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2019,1.298,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2020,1.429,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2021,1.279,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2022,1.397,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2023,2.026,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2024,2.563,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
2025,2.632,"AK","Alcohol","License Taxes","Million Dollars","Nominal"
1948,0.175,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1950,0.199,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1951,0.253,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1952,0.273,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1953,0.175,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1954,0.274,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1955,0.214,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1956,0.186,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1957,0.204,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1958,0.199,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1959,0.29,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1960,0.329,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1961,0.353,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1962,0.375,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1963,0.533,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1964,0.766,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1965,0.771,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1966,0.801,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1967,0.803,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1968,0.625,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1969,0.66,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1970,0.793,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1971,0.779,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1972,0.883,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1973,1.197,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1974,1.171,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1975,1.398,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1976,1.53,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1977,1.581,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1978,1.205,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1979,3.995,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1980,1.84,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1981,3.532,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1982,1.37,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1983,2.87,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1984,0.785,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1985,2.289,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1986,2.299,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1987,2.134,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1988,1.624,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1989,3.154,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1990,1.81,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1991,2.21,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1992,2.167,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1993,2.248,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1994,3.037,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1995,3.233,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1996,4.038,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1997,4.153,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1998,3.883,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1999,4.217,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2000,2.381,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2001,1.127,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2002,3.906,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2003,4.165,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2004,3.732,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2005,4.799,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2006,4.616,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2007,9.986,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2008,11.994,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2009,7.928,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2010,5.444,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2011,7.503,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2012,4.918,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2013,5.164,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2014,5.246,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2015,6.764,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2016,7.416,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2017,8.921,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2018,8.592,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2019,8.917,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2020,10.326,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2021,9.679,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2022,11.769,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2023,22.857,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2024,15.657,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
2025,17.761,"AZ","Alcohol","License Taxes","Million Dollars","Nominal"
1948,0.311,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1950,0.526,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1951,0.335,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1952,0.146,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1953,0.563,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1954,0.412,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1955,0.406,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1956,0.4,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1957,0.396,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1958,0.397,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1959,0.389,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1960,0.381,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1961,0.387,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1962,0.375,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1963,0.38,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1964,0.382,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1965,0.376,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1966,0.318,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1967,0.402,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1968,0.382,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1969,0.696,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1970,0.543,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1971,0.663,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1972,0.63,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1973,0.665,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1974,0.737,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1975,0.68,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1976,0.734,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1977,0.765,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1978,0.796,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1979,0.783,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1980,0.846,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1981,0.848,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1982,0.772,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1983,1.046,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1984,0.957,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1985,1.006,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1986,0.961,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1987,0.747,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1988,0.568,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1989,1.463,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1990,1.104,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1991,0.989,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1992,1.025,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1993,0.95,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1994,1.391,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1995,1.503,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1996,1.56,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1997,1.575,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1998,1.551,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1999,1.594,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2000,1.605,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2001,1.546,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2002,1.579,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2003,1.652,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2004,1.652,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2005,1.765,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2006,1.581,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2007,1.822,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2008,1.959,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2009,1.619,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2010,2.931,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2011,4.28,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2012,4.17,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2013,4.424,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2014,4.187,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2015,4.751,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2016,4.624,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2017,4.787,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2018,6.128,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2019,4.87,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2020,4.54,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2021,5.858,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2022,7.146,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2023,5.753,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2024,6.329,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
2025,6.638,"AR","Alcohol","License Taxes","Million Dollars","Nominal"
1948,8.009,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1950,7.919,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1951,7.898,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1952,8.413,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1953,8.577,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1954,8.669,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1955,9.214,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1956,9.332,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1957,10.544,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1958,10.986,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1959,12.231,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1960,11.031,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1961,13.123,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1962,13.25,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1963,14.181,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1964,13.629,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1965,14.598,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1966,15.16,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1967,14.91,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1968,14.975,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1969,19.116,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1970,20,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1971,20.529,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1972,19.945,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1973,20.698,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1974,21.124,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1975,15.335,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1976,19.853,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1977,31.387,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1978,23.09,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1979,25.878,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1980,18.742,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1981,35.507,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1982,27.169,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1983,33.455,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1984,29.453,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1985,29.697,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1986,30.702,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1987,31.936,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1988,31.412,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1989,32.734,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1990,32.401,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1991,33.108,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1992,31.267,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1993,34.869,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1994,36.746,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1995,24.102,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1996,40.712,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1997,34.34,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1998,33.888,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1999,36.115,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2000,34.275,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2001,33.333,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2002,36.68,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2003,40.735,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2004,43.841,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2005,45.363,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2006,45.927,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2007,48.881,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2008,47.839,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2009,49.448,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2010,51.423,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2011,51.535,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2012,53.169,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2013,53.008,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2014,55.55,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2015,56.512,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2016,57.406,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2017,58.202,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2018,60.519,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2019,66.748,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2020,66.66,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2021,92.549,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2022,88.24,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2023,81.109,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2024,98.609,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
2025,102.545,"CA","Alcohol","License Taxes","Million Dollars","Nominal"
1948,0.761,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1950,0.757,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1951,0.768,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1952,0.75,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1953,0.785,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1954,0.636,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1955,0.769,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1956,0.78,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1957,0.781,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
